Usename,Time,Like_count,Floor_number,Sourse,Comments
坤哥是我的梦中情人白马王子,Thu Mar 12 21:27:10 +0800 2020,3,934,,"""经常自己所热爱的，加油💪蔡pd"""
Kunsbabygirl蓝玫瑰,Thu Mar 12 21:26:02 +0800 2020,3,872,,"""谢谢他的坚持，蔡PD加油！"""
KUN坤葵,Thu Mar 12 21:18:44 +0800 2020,2,791,,"""坚持你的热爱"""
葵葵困了·,Thu Mar 12 20:11:08 +0800 2020,3,155,,"""这只是他的热爱啊"""
爱K优恩的括弧笑,Thu Mar 12 20:06:17 +0800 2020,2,77,,"""喜欢他的坚持与热爱！很棒也很可爱"""
葵葵现在是可以娶我的年纪了,Thu Mar 12 20:04:47 +0800 2020,2,41,,"""少年涅槃，浴火重生。再次回到青春的舞台，备受瞩目的青春制作人代表@蔡徐坤  将会有怎样的精彩表现。将青春与梦想诉说，将热爱与经验分享，《青春有你2》一起期待KUN。"""
我家小葵敲可爱会拿话筒敲脑袋,Thu Mar 12 20:04:13 +0800 2020,2,9,,"""别着急回应所有的声音，你的作品，是你的舞台。蔡代表，你好@蔡徐坤"""
撞进蔡徐坤先生怀里KK,Fri Mar 13 17:19:21 +0800 2020,1,5503,,"""蔡徐坤"""
星葵迷雾,Fri Mar 13 08:07:59 +0800 2020,1,5064,,"""蔡徐坤"""
天呐圈圈,Fri Mar 13 00:16:26 +0800 2020,1,4204,,"""一直对他挺有好感，挺纯粹的一个有才华的实力爱豆"""
KUN坤葵,Fri Mar 13 00:10:42 +0800 2020,1,4124,,"""暖心又优秀的坤制作人啊"""
想不出一个微博名的我,Thu Mar 12 23:48:48 +0800 2020,2,3975,,"""还记得之前全网黑 还有恶意的剪辑视频 路人都会当做笑谈的那些话 舆论风向说变就变 所谓黑 路 粉来回转 如果一个公众人物没有足够强大的心态去面对这些 等不来雨过天晴呢？我真心希望无论人和事都能被了解了再评判 以及 留点口德"""
你的鱼奶奶已上线,Thu Mar 12 22:56:54 +0800 2020,1,3422,,"""挺好的"""
小小恋猫,Thu Mar 12 22:12:33 +0800 2020,4,2702,,"""终于有一天，他轻松的聊起这个话题，好像在场所有人都笑了，我差点看哭了。#蔡徐坤 打篮球只是我的爱好#"""
坤的bad女孩,Thu Mar 12 22:05:49 +0800 2020,1,2374,,"""热爱无罪"""
珍珠葵芫,Thu Mar 12 22:04:42 +0800 2020,1,2275,,"""这个男孩真的很温柔了热爱无罪"""
JeSsie_Kun0802,Thu Mar 12 22:02:14 +0800 2020,1,2147,,"""试着了解坤他真的是一个很优秀的音乐人～"""
蔡学长的保温瓶,Thu Mar 12 21:57:45 +0800 2020,1,1818,,"""是的，他还是个天真的小孩，爱好打篮球，希望大家不要再玩梗"""
Ikun是我唯一的名字,Thu Mar 12 21:47:10 +0800 2020,1,1445,,"""别着急回应所有的声音，你的作品是舞台，我们一直都在@蔡徐坤"""
蔡衍埼Ye,Thu Mar 12 21:34:02 +0800 2020,3,1195,,"""热爱本无罪！不了解他就请不要过早定义他！"""
淡淡香茶味9,Thu Mar 12 21:33:48 +0800 2020,1,1185,,"""坚持热爱 蔡代表很棒"""
坤的Sophy,Thu Mar 12 21:14:56 +0800 2020,1,740,,"""处处为别人着想的暖心蔡代表，好期待他的更多精彩"""
一小伊一,Thu Mar 12 21:04:32 +0800 2020,1,617,,"""\""别着急回应所有的声音，你的作品是舞台。\"""""
十里飘香你真香,Thu Mar 12 20:40:12 +0800 2020,1,405,,"""作品就是你蔡徐坤最好的回答，爱你爱你爱你😘😘😘😘😘😘😘😘😘"""
栗栗俊,Thu Mar 12 20:17:55 +0800 2020,1,262,,"""性格特别有趣了"""
蔡小葵_-,Thu Mar 12 20:17:51 +0800 2020,2,261,,"""蔡pd太温柔了吧"""
Stella_XYJ616,Thu Mar 12 20:15:43 +0800 2020,1,233,,"""热爱无罪"""
单单crush,Thu Mar 12 20:14:51 +0800 2020,2,218,,"""不管别人怎么质疑做自己就好"""
九条小情话,Thu Mar 12 20:13:22 +0800 2020,1,193,,"""好好好好好帅"""
孙罗敷,Thu Mar 12 20:11:46 +0800 2020,1,165,,"""一直都很喜欢蔡徐坤"""
小洲洲宝宝,Thu Mar 12 20:09:51 +0800 2020,1,134,,"""蔡徐坤你是 让我心动让我欢喜 让我想陪你每一个春夏秋冬 初见的心动 长久的陪伴 只想护你成王 舞台上的光芒，让你永远闪耀   @蔡徐坤"""
802菜畦大部队,Thu Mar 12 20:05:21 +0800 2020,1,60,,"""坚持热爱没有错"""
菜包ikun一个,Thu Mar 12 20:05:05 +0800 2020,1,53,,"""期待用作品证明自己的蔡PD"""
Cc蔡甜,Thu Mar 12 20:04:56 +0800 2020,1,48,,"""别着急回应所有声音！你的作品就是舞台！！！ 蔡徐坤的舞台太棒了！！！"""
卟伶咛,Thu Mar 12 20:04:53 +0800 2020,1,45,,"""热爱本无罪 期待蔡代表"""
SweetheartKUN_徐徐,Thu Mar 12 20:04:44 +0800 2020,1,38,,"""热爱无罪！"""
K_QingYi,Thu Mar 12 20:04:28 +0800 2020,1,19,,"""蔡徐坤真的很暖很温柔哦～"""
关于小葵的旺仔牛奶,Fri Mar 13 02:54:06 +0800 2020,4,4722,,"""到现在还有人一直做复读机，别跟我说你不是，噢，我懂了，原来你真不是东西呀，还有人说他洗什么鬼评论？哪来的黑料需要洗？觉得这些人应该先洗洗自己的嘴和心"""
四时糖食点心,Thu Mar 12 23:27:15 +0800 2020,2,3697,,"""说真的不是粉 但是看节目感觉还不错诶"""
Tiffy_05,Thu Mar 12 22:43:17 +0800 2020,2,3118,,"""“喜欢唱 跳 rap 篮球“，小蔡一直说的都是“喜欢篮球“。恶意鬼畜剪辑可以使一个人面目全非，让有的人还不认识他却已经开始讨厌他。男生喜欢打球是再正常不过的，恭喜小蔡终于能笑着说出来。"""
不再寻找了,Thu Mar 12 20:17:44 +0800 2020,6,259,,"""他真的很暖心，一直都很自律呀"""
黎曼-积分,Thu Mar 12 20:08:07 +0800 2020,3,105,,"""蔡徐坤一直都很优秀，也很能照顾身边的人。"""
费启鸣的小胡茬,Thu Mar 12 23:35:56 +0800 2020,1,3821,,"""真的没什么实质性的黑点，爱我坤就对了"""
-白昼月球-,Thu Mar 12 22:53:44 +0800 2020,4,3266,,"""他真的很好 你们不了解一个人的时候凭什么黑他 为黑而黑吗 小葵真的好温柔哦"""
爱君一生坤,Thu Mar 12 22:01:28 +0800 2020,4,2082,,"""其实蔡徐坤真的很温柔，当他在提起篮球时，当时真的很心疼，他好像也没做错什么，可就是……"""
PALPITATE_KUN,Thu Mar 12 20:07:18 +0800 2020,2,88,,"""“不要着急回应所有的声音，你的作品，是舞台”这就是蔡徐坤"""
YOLO-Miraitowa,Fri Mar 13 14:58:26 +0800 2020,1,5459,,"""蔡老师这样的释然真的很佩服"""
F176371,Fri Mar 13 10:34:25 +0800 2020,3,5340,,"""菜虚鲲🐔你太美🏀打篮球"""
澍鴻鐽槲調,Thu Mar 12 23:48:03 +0800 2020,1,3964,,"""本来就没什么，不奇怪啊，至今都没想到他们的关注点在哪"""
活泼可爱的妹妹,Thu Mar 12 23:47:16 +0800 2020,2,3955,,"""越来越觉得我们粉了个宝，他是上天派来的天使吧"""
初檬50159,Thu Mar 12 22:55:31 +0800 2020,4,3355,,"""天哪，我好想哭，是我们没有保护好你，让你承受了这些流言蜚语"""
安仔的橘猫,Thu Mar 12 22:40:52 +0800 2020,4,3092,,"""路人一枚，从他被黑开始逐渐认识他，一直到现在看到他对于这件事坦然面对，用玩笑去接受，会让我感觉他是很大气爽朗的一位男孩，嗯，未来可期"""
困困的小猫咪k,Thu Mar 12 22:11:37 +0800 2020,6,2669,,"""这是这么久以来，他第一次正面回应这个问题，是多强大的心理和经历，让他可以云淡风轻的带过，这个温柔到至极男孩真的成长了太多"""
一个享受着现在的我,Thu Mar 12 22:01:45 +0800 2020,3,2106,,"""为什么我的耳边响起了🐔你太美"""
-潇遥-Richard,Thu Mar 12 21:59:10 +0800 2020,2,1892,,""""""
心尖上的刺猬k,Thu Mar 12 21:56:52 +0800 2020,5,1774,,"""其实看到这我真的很难受，我的男孩到底经历什么才会如此释然啊"""
坤的头顶旋,Thu Mar 12 21:53:44 +0800 2020,5,1603,,"""当时看到那里，心都提起来了"""
于天坤,Thu Mar 12 20:45:43 +0800 2020,5,450,,"""那个梗真的是心疼又心酸"""
芒花跃,Thu Mar 12 20:18:30 +0800 2020,2,267,,"""热爱的是舞台，是音乐"""
蒜蒜葵酱,Thu Mar 12 20:15:26 +0800 2020,2,229,,"""蔡pd好棒"""
善益坤,Fri Mar 13 06:25:28 +0800 2020,2,4862,,"""蔡代表"""
alexzzhh,Fri Mar 13 05:04:08 +0800 2020,3,4807,,"""别在这儿洗，他给b站发律师函怎么说？ 我寻思人家吴亦凡气度不必他大多了？ 民众只会喜欢随和的人"""
98年徐坤牌雪碧,Thu Mar 12 23:55:08 +0800 2020,2,4019,,"""他终于笑着说出来了"""
发怒小公主ovo,Thu Mar 12 22:03:58 +0800 2020,2,2250,,"""说实话 这是我头一次看见蔡徐坤上热搜好评＞恶评的 好艺人都是值得的"""
karoninaaa,Thu Mar 12 22:00:53 +0800 2020,2,2033,,"""听坤坤说这几句话的时候，挺心疼坤坤的"""
可可要恰芒果冰,Thu Mar 12 21:53:29 +0800 2020,4,1594,,"""他能这样释然的说出这番话，以后再没有什么可以阻碍到他了，作为粉丝，曾经我看到篮球就色变，就严阵以待，从今以后我也没有什么好在意的了。一直陪着你，热爱你的热爱"""
不会和女孩子说话,Thu Mar 12 21:37:56 +0800 2020,7,1327,,"""现在不是不允许买机器人了吗"""
欤困·,Thu Mar 12 21:17:35 +0800 2020,1,774,,"""坚持你的热爱，热爱你的热爱"""
浅笑失于风,Thu Mar 12 21:03:08 +0800 2020,4,589,,"""所有人都在他这一番话后发出了惊叹 我也惊叹到了 原来经历了枪林弹雨之后你还能这么温柔"""
Cersei-k,Thu Mar 12 20:18:48 +0800 2020,3,274,,"""我的坤坤长大了"""
疯子论世界,Thu Mar 12 20:18:22 +0800 2020,3,265,,"""蔡徐坤非常的优秀"""
你只是像风一样,Thu Mar 12 20:15:44 +0800 2020,2,235,,"""有的人就是适合要慢慢的去了解，去接触的"""
徐坤家小仙女,Thu Mar 12 20:13:31 +0800 2020,2,196,,"""蔡徐坤自己说出来的这番话、他真的越来越释然了、他也太通透了、坚持自己热爱的东西、这没有错！[贊]"""
葵葵八分甜呀,Thu Mar 12 20:07:53 +0800 2020,2,99,,"""别着急回应所有的声音 你的作品是舞台"""
躺在坤哥上的小溪流,Fri Mar 20 21:18:34 +0800 2020,1,5791,,""""""
