Usename,Time,Like_count,Floor_number,Sourse,Comments
lemon梦大虫,Sun Mar 15 14:04:06 +0800 2020,2,4209,,"""怎么会有这么有意思又长得这么帅的人"""
freaky20坤,Sun Mar 15 14:03:36 +0800 2020,2,4153,,"""蔡徐坤不会截图，哈哈啊哈哈哈，这个梗我可以笑到明年"""
心动限定葵,Sun Mar 15 14:02:58 +0800 2020,2,4081,,"""#蔡徐坤冲呀# 蔡徐坤冲冲冲"""
菜菜的小Q草莓,Sun Mar 15 14:01:35 +0800 2020,3,3959,,"""他真的太有梗了没关系~一点都不土，我们是复古风"""
喝xuebi1129,Sun Mar 15 13:59:23 +0800 2020,2,3716,,"""太有梗了哈哈哈哈"""
冉苒喜欢困www_,Sun Mar 15 13:58:10 +0800 2020,3,3561,,"""哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"""
82颗小金豆呀,Sun Mar 15 13:57:45 +0800 2020,3,3494,,"""现在会截屏了呐"""
KUN·最爱大奎,Sun Mar 15 13:56:58 +0800 2020,2,3395,,"""新采访！！！终于找到完整版了"""
KUN坤葵,Sun Mar 15 13:56:50 +0800 2020,4,3381,,"""5G少年不会截图后来才学会的，哈哈哈@蔡徐坤"""
可爱的kakawo,Sun Mar 15 13:56:11 +0800 2020,3,3284,,"""蔡徐坤做pd超棒的，我也想要这样的老师"""
魔仙堡在逃花园宝宝,Sun Mar 15 13:54:15 +0800 2020,2,3059,,"""蔡pd我来了我来了🙋✨"""
KUN手里的立麦,Sun Mar 15 13:53:36 +0800 2020,2,2956,,"""哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈哈哈哈蔡徐坤终于学会截屏"""
逐風執事,Sun Mar 15 13:53:30 +0800 2020,2,2940,,"""什么鬼 到时候给你打打脸哈哈哈哈哈哈哈哈哈哈哈"""
KUNIKUN99,Sun Mar 15 13:52:13 +0800 2020,2,2787,,"""哈哈哈哈哈哈哈我现在会了"""
无价储蓄卡,Sun Mar 15 13:52:14 +0800 2020,2,2788,,"""哈哈哈蔡徐坤真的一直在说自己很严厉 但其实很温柔啦 还有 他说女孩子不可以 真的好尊重女生啊"""
甜葵带点奎,Sun Mar 15 13:51:37 +0800 2020,2,2706,,"""我来了我来了"""
你给了我超能力555,Sun Mar 15 13:49:38 +0800 2020,2,2357,,"""蔡PD冲呀@蔡徐坤"""
一只可爱的小熊呀,Sun Mar 15 13:48:44 +0800 2020,2,2188,,"""哈哈哈哈哈哈 蔡徐坤怎么这么搞笑"""
酥丹三988,Sun Mar 15 13:43:01 +0800 2020,2,981,,"""蔡代表太温柔太可爱啦"""
困困坤坤困困cxk,Sun Mar 15 13:41:09 +0800 2020,2,584,,"""新专访！我来了！严格又温柔的蔡pd"""
