Usename,Time,Like_count,Floor_number,Sourse,Comments
SuperJX-K,Fri Mar 27 11:33:09 +0800 2020,0,6227,,"""蔡pd好可爱哦"""
小困同学有点困,Fri Mar 27 11:01:01 +0800 2020,1,6205,,"""台下的那个ikun姐姐就是我昨晚的样子"""
蓓乐爷-,Fri Mar 27 10:43:39 +0800 2020,1,6193,,"""哇 世界上怎么会有这么可爱的蓝孩纸！"""
YLHKM,Fri Mar 27 09:38:56 +0800 2020,0,6155,,"""太可爱啦(⑉• •⑉)‥♡"""
我家小骊,Fri Mar 27 09:33:12 +0800 2020,0,6150,,"""这个蔡徐坤我好喜欢哦"""
单于葵也,Fri Mar 27 09:15:21 +0800 2020,0,6138,,"""哈哈哈哈好可爱的pd"""
eonoes心意如我,Fri Mar 27 09:09:28 +0800 2020,0,6129,,"""哈哈哈，太可爱了呢。明天晚上继续看蔡PD@蔡徐坤 喽，一周双更的感觉超赞啊"""
李家的盛世美颜,Fri Mar 27 09:05:44 +0800 2020,0,6120,,"""对不起，我笑了哈哈哈哈哈哈哈哈哈哈"""
储蓄卡家的L,Fri Mar 27 09:02:33 +0800 2020,0,6115,,"""蔡徐坤哈哈哈哈哈哈被迫营业"""
奶葵困了,Fri Mar 27 08:44:57 +0800 2020,0,6087,,"""好可爱喔"""
爱坤坤的小汤圆,Fri Mar 27 08:41:05 +0800 2020,0,6084,,"""哈哈哈哈哈哈哈可可爱爱@蔡徐坤"""
十三罗莎,Fri Mar 27 08:40:46 +0800 2020,0,6082,,"""咋还成小嗲精了呢？"""
星星_都不在,Fri Mar 27 08:20:00 +0800 2020,0,6066,,"""好甜"""
漂亮npy,Fri Mar 27 07:02:46 +0800 2020,0,6034,,"""#蔡徐坤被迫营业# 蔡徐坤太可爱了吧！@蔡徐坤"""
陶陶坤瑟,Fri Mar 27 02:41:55 +0800 2020,0,5622,,"""#蔡徐坤被迫营业# 哈哈哈没办法"""
蓝雪恐龙,Fri Mar 27 01:15:03 +0800 2020,0,5526,,"""哈哈哈哈哈哈哈哈哈哈哈真的是好辛苦的@蔡徐坤"""
第802次心动_K,Fri Mar 27 01:07:39 +0800 2020,0,5514,,"""可可爱爱"""
薇_ben929,Fri Mar 27 01:02:54 +0800 2020,0,5504,,"""可爱到掉头系列"""
墨想聆听,Fri Mar 27 00:54:19 +0800 2020,0,5491,,"""做了PD就不好意思卖萌了"""
uhetffy,Fri Mar 27 00:54:16 +0800 2020,0,5490,,"""他真的好可爱啊"""
I小唐唐,Fri Mar 27 00:50:53 +0800 2020,0,5482,,"""#蔡徐坤被迫营业#"""
墨想聆听,Fri Mar 27 00:50:43 +0800 2020,0,5480,,"""做了pd不好意思卖萌了"""
西瓜超甜吖,Fri Mar 27 00:45:23 +0800 2020,0,5472,,"""太可爱了叭蔡徐坤"""
若水杳千里,Fri Mar 27 00:17:09 +0800 2020,0,5414,,"""#蔡徐坤被迫营业# 承包我哥的✌️ 太可爱了吧@蔡徐坤"""
芋圆啵啵葵,Fri Mar 27 00:12:36 +0800 2020,0,5397,,"""蔡徐坤真的太可爱了！"""
K葵里奎气R,Fri Mar 27 00:02:41 +0800 2020,0,5356,,"""啊啊 蔡徐坤你好可爱"""
闺蜜ta说,Fri Mar 27 00:00:11 +0800 2020,0,5345,,"""#蔡徐坤被迫营业# cxk：真的好辛苦哦！！！"""
安九十九,Thu Mar 26 23:57:09 +0800 2020,0,5335,,"""哈哈哈哈哈哈好可爱"""
灰小泡仔,Thu Mar 26 23:55:37 +0800 2020,0,5326,,"""太可爱啦蔡徐坤"""
安培晴子,Thu Mar 26 23:54:48 +0800 2020,0,5321,,"""好可爱"""
是但但是2020,Thu Mar 26 23:54:31 +0800 2020,0,5320,,"""蔡徐坤可爱!"""
北辰·般若,Thu Mar 26 23:54:15 +0800 2020,0,5317,,"""太可爱啦"""
浮丶烟染-,Thu Mar 26 23:52:56 +0800 2020,0,5311,,"""#蔡徐坤被迫营业# 蔡PD也太可爱啦"""
想念小蜜蜂的猪love0802K,Thu Mar 26 23:52:16 +0800 2020,0,5305,,"""哈哈哈蔡PD太不容易啦"""
