Usename,Time,Like_count,Floor_number,Sourse,Comments
Chloe-MUM,Tue Mar 17 16:49:56 +0800 2020,2,643,,"""坤和lisa的采访都是五分钟，ella可以自己说五个钟太能说了，的确很适合综艺啊"""
等雨也等,Mon Mar 16 19:36:41 +0800 2020,2,315,,"""Ella"""
Arbiya会发光_,Mon Mar 16 18:12:10 +0800 2020,2,193,,"""ella真好"""
当归64664,Mon Mar 16 18:09:00 +0800 2020,2,182,,"""好的，Ella 姐姐你很好"""
Oops-Spencer-,Tue Mar 17 10:51:06 +0800 2020,1,571,,"""哈哈哈好可爱啊"""
嬈0825,Tue Mar 17 10:44:17 +0800 2020,1,567,,"""变成脱口秀了啊哈哈哈"""
豆豆芽芽芽,Tue Mar 17 02:21:25 +0800 2020,1,489,,"""好可爱的Ella~"""
如梦之梦的五号病人,Tue Mar 17 00:24:08 +0800 2020,1,467,,"""我们ella姐姐，勇敢温柔有力量"""
5楚欣,Mon Mar 16 23:54:13 +0800 2020,2,458,,"""ella太可爱了吧！好喜欢她"""
即将拥有人鱼线的一条咸鱼,Mon Mar 16 21:18:47 +0800 2020,1,384,,"""当年SHE 多少爆红的作品啊？蔡徐坤有什么出圈的作品吗？可是他吹的比SHE还厉害 这才是他被黑的原因好么？"""
史前一万年那只猴子是我祖宗,Mon Mar 16 19:06:21 +0800 2020,1,283,,"""ella太好笑了哈哈哈哈哈哈哈哈"""
KUN-全世界最棒的蔡徐坤,Mon Mar 16 18:40:21 +0800 2020,2,233,,"""谢谢Ella老师"""
看到我快叫我滚去学习,Mon Mar 16 18:29:46 +0800 2020,3,221,,"""ella好好a"""
MODERATO-j,Mon Mar 16 17:59:35 +0800 2020,3,159,,"""姐姐真的超级有梗"""
凯瑟琳nana,Mon Mar 16 17:53:48 +0800 2020,2,133,,"""对明星真的宽容一点吧，你以为你只骂了一句，殊不知有千人万人跟你想的一样。"""
笔晓鹿,Mon Mar 16 17:35:17 +0800 2020,1,47,,"""蔡徐坤加油"""
心若執念h,Tue Mar 17 10:51:55 +0800 2020,1,573,,"""性格太好了，活该她红"""
zsssp,Tue Mar 17 10:01:19 +0800 2020,1,542,,"""会控制节奏的人不止会唱歌和演戏。其实解接讲那两段很心酸。成功的路不好走，已经成功的人也一样要继续挣扎。但你讲两次北京我就介意了，你是有多喜欢北京呀，很干印象太深是不是。面包和水是别人对你的态度，外在的。突然唱心酸的歌是因为心中酸楚，内在的。"""
露露不是花生牛奶,Tue Mar 17 09:41:49 +0800 2020,1,535,,"""没想到会被蔡徐坤俘获的一天😂  网页链接"""
爱笔没道理,Tue Mar 17 08:49:15 +0800 2020,2,512,,"""没毛病，SHE陪我们走过了整个青春"""
阿星控,Mon Mar 16 21:33:33 +0800 2020,1,393,,"""@嘉桦ella 这鸡汤真的很走心 大蛇团的唱功永远独一无二"""
llssggg,Mon Mar 16 19:45:11 +0800 2020,1,323,,"""Ella好可爱啊，三观超正"""
要做崽崽的团姐姐,Mon Mar 16 19:42:11 +0800 2020,1,321,,"""陈嘉桦你话真的很多唉！我就知道你会讲你们三个突然痛哭流涕那个故事哈哈哈哈哈哈你们吃过的苦我都一路陪你们走来啦，你这个爱哭鬼以前也没少哭～但是你永远是我的小太阳啊请问今年911合体吗"""
蔡徐坤的evil小猫咪,Mon Mar 16 19:31:11 +0800 2020,1,310,,"""要被Ella笑死了！哈哈哈哈哈哈"""
火锅Frank,Mon Mar 16 19:23:57 +0800 2020,1,306,,"""Ella好搞笑"""
1個奕奕,Mon Mar 16 19:23:13 +0800 2020,1,305,,"""ella好可爱啊真实一姐"""
来杯蜜桃乌龙叭,Mon Mar 16 17:34:32 +0800 2020,1,40,,"""坤队真的很好！！！！"""
JO韻_,Thu Apr 02 00:22:52 +0800 2020,0,695,,"""我想说…这个剪辑为什么一直跳一直跳… 一个问题跳一次就好啦… 看得我好辛苦…………………"""
a辰儿a,Thu Mar 19 22:27:27 +0800 2020,0,682,,"""@朱乐梅"""
起死回生后疯了渡成了你,Thu Mar 19 19:19:45 +0800 2020,0,679,,"""谢谢姐姐"""
August_紫菜包饭,Thu Mar 19 18:24:59 +0800 2020,0,675,,"""蔡徐坤温柔又负责"""
猫在西瓜里的彩徐葵,Thu Mar 19 15:36:15 +0800 2020,0,674,,""""""
pinkylam-冰淇淋,Tue Mar 17 13:14:27 +0800 2020,0,622,,"""我又想看蔷薇之恋了"""
pinkylam-冰淇淋,Tue Mar 17 13:12:05 +0800 2020,0,621,,"""哈哈哈哈😂ella没想到你是个话唠"""
夜行患猫,Tue Mar 17 13:04:24 +0800 2020,0,620,,"""@重命名pp 哈哈哈哈 ella 性格真的太好了 想要生活中有一个这样的盆友"""
安知愫L,Tue Mar 17 11:54:40 +0800 2020,0,599,,"""ella这番话真的好，也谢谢ella姐对坤的照顾"""
謝謝妳如此美麗動人,Tue Mar 17 11:48:19 +0800 2020,1,594,,"""姐姐好好笑"""
日常盒盒盒盒地笑个不停,Tue Mar 17 10:42:21 +0800 2020,0,564,,"""Ella好可爱"""
你就认我做大哥,Tue Mar 17 10:28:46 +0800 2020,1,556,,"""之前黑了蔡徐坤好久好久，看了几期青你，才发现人家长得帅情商高会说话，对不起对不起，希望越来越好吧"""
星星星Cin_Y,Tue Mar 17 09:54:24 +0800 2020,0,539,,""""""
6UISE,Tue Mar 17 03:52:32 +0800 2020,1,493,,"""谢谢ella老师照顾lisa 期待大家 加油！！"""
我是迪迪o,Tue Mar 17 00:50:04 +0800 2020,0,476,,"""哈哈哈哈哈哈哈哈哈哈哈哈哈"""
kongjuohh,Mon Mar 16 23:32:02 +0800 2020,0,446,,"""加滑真的很可爱2333  每次访谈都很有趣"""
張咕咚-,Mon Mar 16 23:30:24 +0800 2020,0,445,,"""@阿挠zzz 6分20秒陪我一起看戏精好吗哈哈哈哈"""
宇宙无敌小暖阳,Mon Mar 16 22:32:52 +0800 2020,0,415,,""""""
jarry阿江,Mon Mar 16 21:04:01 +0800 2020,0,374,,"""最爱的加滑"""
-YJYJYJ_Y,Mon Mar 16 20:58:42 +0800 2020,0,368,,"""哈哈哈哈我们解接真好"""
朗姆葡萄木,Mon Mar 16 20:23:38 +0800 2020,3,348,,"""看了青你2真的路转粉，情商高会说话，从内而外的高素质和温柔。"""
