,Usename,Time,Like_count,Comments,blogger,weight,sentiments,isFan
74,ikk的麻麻,Thu Mar 12 22:31:17 +0800 2020,37,"""内心豁达畅亮的男孩，蔡PD太暖了！""",qnjf,18.5,0.9982022200752803,False
75,MyLittlePrince_KUN,Thu Mar 12 21:56:47 +0800 2020,37,"""啊啊啊啊啊真的好喜欢""",hld,18.5,0.976310162788543,True
76,载糖飞船,Thu Mar 12 21:58:15 +0800 2020,35,"""他好可爱啊""",hld,17.5,0.8789676580241895,False
77,蔡徐坤TOUR_MEETING,Wed Mar 18 12:37:45 +0800 2020,34,"""作品就是你的舞台！""",fashion,17.0,0.786807707115498,True
78,钮钴禄老韦,Fri Apr 03 10:55:06 +0800 2020,33,"""可爱的小坤""",xmtz,16.5,0.7921244624821236,False
79,·小困狙擊手,Thu Mar 12 22:38:01 +0800 2020,32,"""蔡徐坤好温柔""",qnjf,16.0,0.9733380653981974,True
80,甜味_六公主,Thu Mar 12 22:28:05 +0800 2020,30,"""蔡徐坤给人传递的正能量就很棒啊，每个人都有自己喜欢的东西，没有错""",qnjf,15.0,0.9996146515048973,False
81,孙乔初今天写完作业了么,Thu Mar 12 22:16:32 +0800 2020,29,"""请问他几岁""",hld,14.5,0.12181205110873172,False
82,猪光宝气核桃包,Wed Mar 18 12:45:12 +0800 2020,23,"""坚持热爱 用作品说话""",fashion,11.5,0.9029155879048748,False
83,爱困八十二计K_,Thu Mar 12 22:32:35 +0800 2020,22,"""cut我这不就码住了""",qnjf,11.0,0.21897598733292012,True
84,PeachOuO,Thu Mar 12 22:08:41 +0800 2020,22,"""帅哥 人品好 实力强 谁会不爱他""",hld,11.0,0.9909831548214274,False
85,八月循环_,Thu Mar 12 22:09:04 +0800 2020,18,"""喜欢最后一句""",hld,9.0,0.7075346975585365,True
86,小耳朵吖jxh,Thu Mar 12 22:27:09 +0800 2020,18,"""好温柔。讲篮球那段他好坦然！""",hld,9.0,0.9942435220707454,False
87,八月恋雪葵,Wed Mar 18 12:44:49 +0800 2020,18,"""一如既往坚定，诠释不羁少年意气，不经意的小举动温柔又暖心“每个女生都是独一无二的” @蔡徐坤 """,fashion,9.0,0.9999995619276919,True
88,笔咖楸,Wed Mar 18 12:36:18 +0800 2020,17,"""他的回应是他的作品""",fashion,8.5,0.8203956709910135,False
89,超级小葵Hua,Wed Mar 18 12:42:32 +0800 2020,17,"""“做好准备的人，会得到一颗糖，你的作品就是舞台”，@蔡徐坤 一直相信舞台上的自己是最真实的自己""",fashion,8.5,0.9736497341685194,True
90,漂亮弟弟圈外女友,Thu Mar 12 21:56:41 +0800 2020,17,"""他很会把握节奏！""",hld,8.5,0.9620609759157597,False
91,ohh_kongyang,Thu Mar 12 21:56:39 +0800 2020,17,"""今夜真香了 小蔡好可爱""",hld,8.5,0.9805664813510454,False
92,1234kun,Thu Mar 12 22:37:41 +0800 2020,16,"""单人cut！！！！我又活了！！！！""",qnjf,8.0,0.5331052899802516,False
93,我好喜欢蒸汽眼罩,Thu Mar 12 22:21:53 +0800 2020,16,"""大家好！！！！请大家有兴趣的话可以去看他江苏卫视跨年舞台哈！！！！！！！！！！！！""",hld,8.0,0.2649211553903108,False
94,蓝心冰灵,Fri Apr 03 01:25:07 +0800 2020,16,"""我坤真的太优秀了！""",xmtz,8.0,0.7231708084708658,False
95,快说我酷毙了耶,Thu Mar 12 22:18:51 +0800 2020,15,"""路人，觉得蔡徐坤这样说情商很高，有点喜欢他了""",qnjf,7.5,0.9644198513724414,False
96,花菜投手,Wed Mar 18 12:47:31 +0800 2020,14,"""作品是他最好的盔甲！""",fashion,7.0,0.8183752048712758,False
97,一天不吃炸鸡就饿得慌,Thu Mar 12 22:05:10 +0800 2020,14,"""没看土偶之前也不太知道他就看总上热搜，后来看了土偶，别的不说，他的c位绝对稳稳的，每个任务都完成得很好，没有翻车的时候。虽然不是粉，但对有实力的人没法嘲，也不太懂之前篮球那个事。""",hld,7.0,0.005427436454975121,False
98,青色柠檬乐,Thu Mar 12 22:19:07 +0800 2020,13,"""我觉得他还挺温柔的，不错""",hld,6.5,0.9890574321825677,False
99,南南akunkun,Wed Mar 18 12:37:13 +0800 2020,13,"""作品是他的一切""",fashion,6.5,0.7320441988950276,False
100,CXK哥哥的女人不能超过100斤,Fri Apr 03 01:05:37 +0800 2020,13,"""啊啊啊啊我宝宝笑的太开心啦好甜""",xmtz,6.5,0.998281823406531,True
101,带着小喵去旅行_,Thu Mar 12 22:19:33 +0800 2020,13,"""蔡pd 真的好温柔""",qnjf,6.5,0.9810059387464112,False
102,灌汤菜包,Thu Mar 12 22:34:43 +0800 2020,12,"""优质偶像，优秀PD""",qnjf,6.0,0.981335113974245,False
103,倪倪倪小美,Wed Mar 18 12:48:03 +0800 2020,12,"""用时间来证明一切""",fashion,6.0,0.48287653046287005,False
104,·绝缘体KUN·,Wed Mar 18 12:40:39 +0800 2020,12,"""时间会证明一切 做好准备的人 一定会得到一颗糖[爱心]""",fashion,6.0,0.7398943609670388,True
105,Grow_菜园小ak,Wed Mar 18 12:43:13 +0800 2020,11,"""用时间和作品来证明一切""",fashion,5.5,0.6966657921468082,False
106,伊墨阡殇,Thu Mar 12 22:58:19 +0800 2020,10,"""我一直就很喜欢他，人很好也没什么黑料，就是粉丝喜欢撕逼，但是他家大粉也有下场让闭嘴啥的，总的来说我觉得还挺好""",hld,5.0,0.9849046375211474,False
107,绝C对X自K由,Thu Mar 12 22:14:04 +0800 2020,10,"""最后一句 是重点""",hld,5.0,0.6193386111349976,False
108,提土旁的那个kun_,Fri Apr 03 01:04:27 +0800 2020,10,"""一摇一摇小手手就很像小学那个让我们荡起双桨""",xmtz,5.0,0.07670457186832635,False
109,Ikun_可爱,Wed Mar 18 12:41:03 +0800 2020,10,"""何必顺应 不惧流言 热爱至上""",fashion,5.0,0.64474914612927,False
110,August初久,Thu Mar 12 22:31:52 +0800 2020,10,"""可可爱爱的蔡代表啊""",qnjf,5.0,0.7226977421030646,False
111,真的一滴都没有了我,Thu Mar 12 23:00:13 +0800 2020,9,"""真正好的人，永久会被发现，守得云开见月明，真好""",hld,4.5,0.9896329499036008,False
