,Usename,Time,Like_count,Comments,blogger,sentiments,weight,isFan
94,是福猪陌陌吖,Thu Mar 26 19:51:26 +0800 2020,215.0,"""哈哈哈哈哈哈哈哈哈我被笑死、最后还说了这个工作好难！哈哈哈哈哈pd你怎么这么可爱！不行了我被pd可爱死了""",wbzy,0.994719069464834,107.5,False
95,刘爱坤Alan,Sun Mar 15 13:35:55 +0800 2020,213.0,"""新采访我来了[好喜歡][好喜歡][好喜歡]""",xlzy,0.9684876442670879,106.5,True
96,po照,Mon Mar 16 17:32:10 +0800 2020,203.0,"""蔡徐坤真的惨啊！！那时候！""",xlyl,0.748021334869455,101.5,False
97,清水悠哉,Thu Mar 12 20:04:28 +0800 2020,202.0,"""蔡代表讲话太温柔了""",mgyl,0.9377490369234006,101.0,False
98,努力进阶的大草莓,Mon Mar 16 17:37:39 +0800 2020,199.0,"""被蔡徐坤圈粉了，加油，未来可期""",xlyl,0.997735527169682,99.5,False
99,Icelandkid,Mon Mar 16 17:34:26 +0800 2020,196.0,"""ella太可爱了！！采访做成脱口秀笑死我了""",xlyl,0.705513142227876,98.0,False
100,Ikun_可爱,Thu Mar 12 20:04:14 +0800 2020,193.0,"""不惧流言 热爱至上""",mgyl,0.806939734459115,96.5,False
101,EKekkun_,Sun Mar 15 13:39:17 +0800 2020,192.0,"""蔡pd八岁！""",xlzy,0.9082040033877837,96.0,False
102,葵歡喜,Thu Mar 26 19:46:07 +0800 2020,191.0,"""蔡徐坤太可爱啦""",wbzy,0.8900340347543289,95.5,False
103,K优恩的流羽酱,Thu Mar 12 13:04:03 +0800 2020,175.0,"""来啦，文字版太爱了""",wyyl,0.8013333608924211,87.5,False
104,·江河无风·,Thu Mar 26 19:46:07 +0800 2020,175.0,"""期待今晚的PD""",wbzy,0.6200855518926691,87.5,False
105,卟伶咛,Thu Mar 12 13:03:12 +0800 2020,155.0,"""我来看蔡代表了！""",wyyl,0.8812957180823623,77.5,False
106,AugustGilding-,Thu Mar 12 20:04:33 +0800 2020,155.0,"""坚持自己的热爱 别着急回应所有的声音，你的作品，是舞台 会越来越好的""",mgyl,0.9367561898878267,77.5,False
107,一不小心就爱困,Sun Mar 15 13:35:11 +0800 2020,153.0,"""pd真的很严格很温柔！""",xlzy,0.9539588735022743,76.5,True
108,BEMYLION,Sun Mar 15 13:41:17 +0800 2020,150.0,"""“男生穷养，女生富养。”你想起两年前的你过的苦日子了吗？""",xlzy,0.9834322871288469,75.0,False
109,我家小葵敲可爱会拿话筒敲脑袋,Thu Mar 12 13:03:17 +0800 2020,138.0,"""这段采访真的很喜欢送你小心心""",wyyl,0.9328485123143043,69.0,True
110,璃茉茉Cindy,Mon Mar 16 17:35:37 +0800 2020,137.0,"""she在当时那可是no.1女团啊""",xlyl,0.44767845850986676,68.5,False
111,SHE吧,Mon Mar 16 19:51:39 +0800 2020,136.0,"""现在艺人粉丝经常抱怨公司压榨，但这就是成名承受的代价，且当年艺人绝对比现在辛苦。十几年前S.H.E 一年三张，五年九张专辑，商演巡演不停，每次宣传期大中华＋新马各种通告打卡一遍，什么惊险无聊的主题都去过，戏剧主持没落下，连轴转、蜡烛几头烧是家常便饭，她们在当时也才二十多。""",xlyl,0.9312939766906421,68.0,False
112,SHE吧,Mon Mar 16 19:51:39 +0800 2020,136.0,"""现在艺人粉丝经常抱怨公司压榨，但这就是成名承受的代价，且当年艺人绝对比现在辛苦。十几年前#S.H.E[超话]# 一年三张，五年九张专辑，商演巡演不停，每次宣传期大中华＋新马各种通告打卡一遍，什么惊险无聊的主题都去过，戏剧主持没落下，连轴转、蜡烛几头烧是家常便饭，她们在当时也才二十多。""",xlyl,0.9165740149226498,68.0,False
113,阿摆哟E-,Mon Mar 16 17:33:34 +0800 2020,134.0,"""陈嘉桦 爱你 蔡PD加油鸭！！！路转粉""",xlyl,0.942122115117414,67.0,False
